Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,PC,Bypass,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,nodes expanded initially,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC,True SIC,Makespan,Throughput,Number of Collisions,Planner Time
1,96372106,8,10737296,0,True,True,300,0.03697800636291504,0.01183629035949707,1188,1188,0,1188,5,1188,1188,0,1188,1.0,max,Min Best Case,True,1188,1188,1188,207,0.03864734299516908,0,0.04030942916870117
2,96372106,8,10737297,0,True,True,300,-1,-1,-1,-1,-1,-1,115,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
3,96372106,8,10737298,0,True,True,300,0.012375831604003906,0.014148473739624023,1134,1134,0,1134,1,1134,1134,0,1134,1.0,max,Min Best Case,True,1134,1134,1134,216,0.037037037037037035,0,0.01641678810119629
4,96372106,8,10737299,0,True,True,300,0.014160871505737305,0.015497922897338867,1264,1264,0,1264,1,1264,1264,0,1264,1.0,max,Min Best Case,True,1264,1264,1264,224,0.03571428571428571,0,0.018468141555786133
5,96372106,8,10737300,0,True,True,300,0.038329362869262695,0.022649288177490234,1016,1016,0,1016,2,1016,1016,0,1016,1.0,max,Min Best Case,True,1016,1016,1016,254,0.031496062992125984,0,0.0515439510345459
6,96372106,8,10737301,0,True,True,300,0.03090643882751465,0.013674736022949219,978,978,0,978,3,978,978,0,978,1.0,max,Min Best Case,True,976,976,976,189,0.042328042328042326,0,0.0355989933013916
7,96372106,8,10737302,0,True,True,300,0.03068256378173828,0.010455846786499023,927,927,0,927,7,927,927,0,927,1.0,max,Min Best Case,True,924,924,924,207,0.03864734299516908,0,0.03395986557006836
8,96372106,8,10737303,0,True,True,300,0.04166746139526367,0.013075590133666992,1213,1213,0,1213,3,1213,1213,0,1213,1.0,max,Min Best Case,True,1211,1211,1211,219,0.0365296803652968,0,0.04538321495056152
9,96372106,8,10737304,0,True,True,300,0.011078596115112305,0.012655258178710938,1196,1196,0,1196,1,1196,1196,0,1196,1.0,max,Min Best Case,True,1196,1196,1196,237,0.03375527426160337,0,0.01479482650756836
10,96372106,8,10737305,0,True,True,300,0.421339750289917,0.01436471939086914,1199,1199,0,1199,31,1199,1199,0,1199,1.0,max,Min Best Case,True,1193,1193,1193,227,0.03524229074889868,0,0.4257028102874756
11,96372106,8,10737306,0,True,True,300,0.009746789932250977,0.011469841003417969,1020,1020,0,1020,1,1020,1020,0,1020,1.0,max,Min Best Case,True,1020,1020,1020,218,0.03669724770642202,0,0.013302326202392578
12,96372106,8,10737307,0,True,True,300,0.019639015197753906,0.016070842742919922,1166,1166,0,1166,3,1166,1166,0,1166,1.0,max,Min Best Case,True,1164,1164,1164,262,0.030534351145038167,0,0.026808500289916992
13,96372106,8,10737308,0,True,True,300,0.007161855697631836,0.008517980575561523,781,781,0,781,1,781,781,0,781,1.0,max,Min Best Case,True,781,781,781,165,0.048484848484848485,0,0.009745359420776367
14,96372106,8,10737309,0,True,True,300,0.025223493576049805,0.010512590408325195,987,987,0,987,2,987,987,0,987,1.0,max,Min Best Case,True,987,987,987,180,0.044444444444444446,0,0.028257131576538086
15,96372106,8,10737310,0,True,True,300,0.012443065643310547,0.015030860900878906,1322,1322,0,1322,1,1322,1322,0,1322,1.0,max,Min Best Case,True,1322,1322,1322,206,0.038834951456310676,0,0.017666339874267578
16,96372106,8,10737311,0,True,True,300,0.24645137786865234,0.014599800109863281,1044,1044,0,1044,23,1044,1044,0,1044,1.0,max,Min Best Case,True,1040,1040,1040,226,0.035398230088495575,0,0.25258541107177734
17,96372106,8,10737312,0,True,True,300,0.17321109771728516,0.0108642578125,927,927,0,927,5,927,927,0,927,1.0,max,Min Best Case,True,925,925,925,214,0.037383177570093455,0,0.17665719985961914
18,96372106,8,10737313,0,True,True,300,0.008799552917480469,0.012794733047485352,944,944,0,944,1,944,944,0,944,1.0,max,Min Best Case,True,944,944,944,204,0.0392156862745098,0,0.014490127563476562
19,96372106,8,10737314,0,True,True,300,0.010435104370117188,0.013442516326904297,1105,1105,0,1105,1,1105,1105,0,1105,1.0,max,Min Best Case,True,1105,1105,1105,161,0.049689440993788817,0,0.0156710147857666
20,96372106,8,10737315,0,True,True,300,0.024332523345947266,0.011470317840576172,1011,1011,0,1011,2,1011,1011,0,1011,1.0,max,Min Best Case,True,1011,1011,1011,229,0.034934497816593885,0,0.028228282928466797
