Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,PC,Bypass,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,nodes expanded initially,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC,True SIC,Makespan,Throughput,Number of Collisions,Planner Time
1,96372106,32,10737296,0,True,True,300,-1,-1,-1,-1,-1,-1,349,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
2,96372106,32,10737297,0,True,True,300,-1,-1,-1,-1,-1,-1,347,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
3,96372106,32,10737298,0,True,True,300,-1,-1,-1,-1,-1,-1,127,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
4,96372106,32,10737299,0,True,True,300,-1,-1,-1,-1,-1,-1,1467,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
5,96372106,32,10737300,0,True,True,300,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
6,96372106,32,10737301,0,True,True,300,-1,-1,-1,-1,-1,-1,105,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
7,96372106,32,10737302,0,True,True,300,204.20151162147522,0.08023262023925781,3701,3701,0,3701,1073,3701,3701,0,3701,1.0,max,Min Best Case,True,3676,3676,3676,209,0.15311004784688995,0,204.24464225769043
8,96372106,32,10737303,0,True,True,300,-1,-1,-1,-1,-1,-1,203,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
9,96372106,32,10737304,0,True,True,300,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
10,96372106,32,10737305,0,True,True,300,-1,-1,-1,-1,-1,-1,327,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
11,96372106,32,10737306,0,True,True,300,218.20470356941223,0.1788005828857422,4132,4132,0,4132,1141,4132,4132,0,4132,1.0,max,Min Best Case,True,4120,4120,4120,235,0.13617021276595745,0,218.29916429519653
12,96372106,32,10737307,0,True,True,300,-1,-1,-1,-1,-1,-1,1109,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
13,96372106,32,10737308,0,True,True,300,1.3193931579589844,0.14277887344360352,3242,3242,0,3242,23,3242,3242,0,3242,1.0,max,Min Best Case,True,3239,3239,3239,200,0.16,0,1.386730432510376
14,96372106,32,10737309,0,True,True,300,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
15,96372106,32,10737310,0,True,True,300,33.217607259750366,0.4510061740875244,4488,4488,0,4488,43,4488,4488,0,4488,1.0,max,Min Best Case,True,4482,4482,4482,280,0.11428571428571428,0,33.54092478752136
16,96372106,32,10737311,0,True,True,300,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
17,96372106,32,10737312,0,True,True,300,185.08451223373413,0.21866941452026367,4411,4411,0,4411,77,4411,4411,0,4411,1.0,max,Min Best Case,True,4404,4404,4404,233,0.13733905579399142,0,185.1952896118164
18,96372106,32,10737313,0,True,True,300,-1,-1,-1,-1,-1,-1,57,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
19,96372106,32,10737314,0,True,True,300,-1,-1,-1,-1,-1,-1,575,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
20,96372106,32,10737315,0,True,True,300,-1,-1,-1,-1,-1,-1,63,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
