Map,Map Seed,Uncertainty,Number of Agents,Agent Seed,With BP,With PC,With Communication,Sensing Probability,Initial Runtime (secs),Online Runtime (secs),Success,Nodes Generated Initially,Initial Min SOC,Initial Max SOC,Initial Uncertainty,Initial True Cost,Final Min SOC,Final Max SOC,Final Uncertainty,Distribution,Final True Cost,Objective,Effect on True Cost,True Cost Change,Min SIC,Max SIC,Makespan,Throughput,Number of Collisions,Planner Time
PSIS Experiment Map,96372106,0,32,10737304,True,True,True,1.0,53.73941922187805,0.01976180076599121,1,84,1265,1265,0,1265,1265,1265,0,max,1265,Min Best Case,No Change,0,1257,1257,67,0.47761194029850745,0,53.74639058113098
PSIS Experiment Map,96372106,0,32,10737305,True,True,True,1.0,-1,-1,0,89,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,32,10737306,True,True,True,1.0,-1,-1,0,422,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,32,10737307,True,True,True,1.0,84.20627403259277,0.021099328994750977,1,36,998,998,0,998,998,998,0,max,998,Min Best Case,No Change,0,994,994,70,0.45714285714285713,0,84.21524429321289
PSIS Experiment Map,96372106,0,32,10737308,True,True,True,1.0,149.46996331214905,0.020186662673950195,1,36,1026,1026,0,1026,1026,1026,0,max,1026,Min Best Case,No Change,0,1022,1022,68,0.47058823529411764,0,149.47852087020874
PSIS Experiment Map,96372106,0,32,10737309,True,True,True,1.0,35.45794701576233,0.025293588638305664,1,71,1074,1074,0,1074,1074,1074,0,max,1074,Min Best Case,No Change,0,1064,1064,81,0.3950617283950617,0,35.4700448513031
PSIS Experiment Map,96372106,0,32,10737310,True,True,True,1.0,-1,-1,0,107,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,32,10737311,True,True,True,1.0,285.486132144928,0.027379751205444336,1,379,1156,1156,0,1156,1156,1156,0,max,1156,Min Best Case,No Change,0,1146,1146,88,0.36363636363636365,0,285.49934911727905
PSIS Experiment Map,96372106,0,32,10737312,True,True,True,1.0,173.04796695709229,0.02589869499206543,1,58,1203,1203,0,1203,1203,1203,0,max,1203,Min Best Case,No Change,0,1197,1197,83,0.3855421686746988,0,173.05979013442993
PSIS Experiment Map,96372106,0,32,10737313,True,True,True,1.0,186.3302023410797,0.019024372100830078,1,439,1147,1147,0,1147,1147,1147,0,max,1147,Min Best Case,No Change,0,1136,1136,63,0.5079365079365079,0,186.336998462677
PSIS Experiment Map,96372106,0,32,10737314,True,True,True,1.0,-1,-1,0,22,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,32,10737315,True,True,True,1.0,238.18847823143005,0.018545866012573242,1,189,1083,1083,0,1083,1083,1083,0,max,1083,Min Best Case,No Change,0,1077,1077,64,0.5,0,238.19556498527527
PSIS Experiment Map,96372106,0,8,10737296,True,True,True,1.0,0.0029175281524658203,0.003612041473388672,1,1,312,312,0,312,312,312,0,max,312,Min Best Case,No Change,0,-1,-1,58,0.13793103448275862,0,0.00398564338684082
PSIS Experiment Map,96372106,0,8,10737297,True,True,True,1.0,0.003045320510864258,0.003514528274536133,1,1,328,328,0,328,328,328,0,max,328,Min Best Case,No Change,0,-1,-1,68,0.11764705882352941,0,0.004048824310302734
PSIS Experiment Map,96372106,0,8,10737298,True,True,True,1.0,0.0022537708282470703,0.002546548843383789,1,1,227,227,0,227,227,227,0,max,227,Min Best Case,No Change,0,-1,-1,53,0.1509433962264151,0,0.0030164718627929688
PSIS Experiment Map,96372106,0,8,10737299,True,True,True,1.0,0.012881278991699219,0.004178047180175781,1,2,291,291,0,291,291,291,0,max,291,Min Best Case,No Change,0,-1,-1,65,0.12307692307692308,0,0.014507770538330078
PSIS Experiment Map,96372106,0,8,10737300,True,True,True,1.0,0.0019905567169189453,0.002899646759033203,1,1,219,219,0,219,219,219,0,max,219,Min Best Case,No Change,0,-1,-1,62,0.12903225806451613,0,0.003081083297729492
PSIS Experiment Map,96372106,0,8,10737301,True,True,True,1.0,0.008689641952514648,0.0048067569732666016,1,3,283,283,0,283,283,283,0,max,283,Min Best Case,No Change,0,-1,-1,53,0.1509433962264151,0,0.009822607040405273
