Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,PC,Bypass,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,nodes expanded initially,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC,True SIC,Makespan,Throughput,Number of Collisions,Planner Time
1,96372106,16,10737296,0,True,True,300,0.029043197631835938,0.009577274322509766,543,543,0,543,9,543,543,0,543,1.0,max,Min Best Case,True,543,543,543,58,0.27586206896551724,1,0.03313016891479492
2,96372106,16,10737297,0,True,True,300,2.2432665824890137,0.012129068374633789,630,630,0,630,19,630,630,0,630,1.0,max,Min Best Case,True,627,627,627,68,0.23529411764705882,0,2.2489280700683594
3,96372106,16,10737298,0,True,True,300,0.11913514137268066,0.00669407844543457,441,441,0,441,8,441,441,0,441,1.0,max,Min Best Case,True,441,441,441,53,0.3018867924528302,0,0.12176966667175293
4,96372106,16,10737299,0,True,True,300,0.016411542892456055,0.0058612823486328125,454,454,0,454,6,454,454,0,454,1.0,max,Min Best Case,True,454,454,454,65,0.24615384615384617,0,0.01842522621154785
5,96372106,16,10737300,0,True,True,300,1.1381678581237793,0.007614850997924805,492,492,0,492,7,492,492,0,492,1.0,max,Min Best Case,True,492,492,492,64,0.25,0,1.1412415504455566
6,96372106,16,10737301,0,True,True,300,2.489439010620117,0.008194446563720703,637,637,0,637,12,637,637,0,637,1.0,max,Min Best Case,True,633,633,633,64,0.25,0,2.4918997287750244
7,96372106,16,10737302,0,True,True,300,0.018805980682373047,0.007134199142456055,585,585,0,585,4,585,585,0,585,1.0,max,Min Best Case,True,584,584,584,60,0.26666666666666666,0,0.0209810733795166
8,96372106,16,10737303,0,True,True,300,0.1134026050567627,0.01776885986328125,649,649,0,649,10,649,649,0,649,1.0,max,Min Best Case,True,649,649,649,85,0.18823529411764706,0,0.12032032012939453
9,96372106,16,10737304,0,True,True,300,4.110661268234253,0.018566370010375977,683,683,0,683,60,683,683,0,683,1.0,max,Min Best Case,True,675,675,675,67,0.23880597014925373,0,4.115437746047974
10,96372106,16,10737305,0,True,True,300,0.061501502990722656,0.010912656784057617,611,611,0,611,7,611,611,0,611,1.0,max,Min Best Case,True,610,610,610,70,0.22857142857142856,0,0.06566834449768066
11,96372106,16,10737306,0,True,True,300,0.5854945182800293,0.010825634002685547,574,574,0,574,46,574,574,0,574,1.0,max,Min Best Case,True,570,570,570,63,0.25396825396825395,0,0.5893254280090332
12,96372106,16,10737307,0,True,True,300,0.006990671157836914,0.006502389907836914,488,488,0,488,2,488,488,0,488,1.0,max,Min Best Case,True,488,488,488,69,0.2318840579710145,0,0.009107828140258789
13,96372106,16,10737308,0,True,True,300,0.8390562534332275,0.009767532348632812,491,491,0,491,5,491,491,0,491,1.0,max,Min Best Case,True,491,491,491,64,0.25,0,0.8417232036590576
14,96372106,16,10737309,0,True,True,300,0.2749292850494385,0.00862431526184082,464,464,0,464,13,464,464,0,464,1.0,max,Min Best Case,True,464,464,464,51,0.3137254901960784,0,0.27785515785217285
15,96372106,16,10737310,0,True,True,300,17.343015670776367,0.009484052658081055,655,655,0,655,21,655,655,0,655,1.0,max,Min Best Case,True,651,651,651,68,0.23529411764705882,0,17.346274852752686
16,96372106,16,10737311,0,True,True,300,0.7612202167510986,0.007960081100463867,514,514,0,514,10,514,514,0,514,1.0,max,Min Best Case,True,510,510,510,63,0.25396825396825395,0,0.7637760639190674
17,96372106,16,10737312,0,True,True,300,2.5007948875427246,0.010788440704345703,520,520,0,520,9,520,520,0,520,1.0,max,Min Best Case,True,520,520,520,83,0.1927710843373494,0,2.505565643310547
18,96372106,16,10737313,0,True,True,300,0.02636408805847168,0.007698774337768555,565,565,0,565,9,565,565,0,565,1.0,max,Min Best Case,True,564,564,564,63,0.25396825396825395,0,0.02877950668334961
19,96372106,16,10737314,0,True,True,300,0.10556626319885254,0.006005764007568359,381,381,0,381,19,381,381,0,381,1.0,max,Min Best Case,True,376,376,376,44,0.36363636363636365,0,0.10758161544799805
20,96372106,16,10737315,0,True,True,300,0.16074562072753906,0.00901937484741211,625,625,0,625,22,625,625,0,625,1.0,max,Min Best Case,True,622,622,622,62,0.25806451612903225,0,0.16374659538269043
