Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,PC,Bypass,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,nodes expanded initially,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC,True SIC,Makespan,Throughput,Number of Collisions,Planner Time
1,96372106,32,10737296,0,True,True,300,170.72836804389954,0.02247476577758789,1158,1158,0,1158,56,1158,1158,0,1158,1.0,max,Min Best Case,True,1153,1153,1153,78,0.41025641025641024,0,170.73825788497925
2,96372106,32,10737297,0,True,True,300,116.76166987419128,0.023045778274536133,1272,1272,0,1272,349,1272,1272,0,1272,1.0,max,Min Best Case,True,1263,1263,1263,80,0.4,0,116.77122020721436
3,96372106,32,10737298,0,True,True,300,69.19778490066528,0.024994373321533203,981,981,0,981,40,981,981,0,981,1.0,max,Min Best Case,True,978,978,978,81,0.3950617283950617,0,69.21017217636108
4,96372106,32,10737299,0,True,True,300,-1,-1,-1,-1,-1,-1,42,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
5,96372106,32,10737300,0,True,True,300,190.34751915931702,0.022823810577392578,1069,1069,0,1069,102,1069,1069,0,1069,1.0,max,Min Best Case,True,1062,1062,1062,79,0.4050632911392405,0,190.3579375743866
6,96372106,32,10737301,0,True,True,300,62.72943687438965,0.019296884536743164,1073,1073,0,1073,180,1073,1073,0,1073,1.0,max,Min Best Case,True,1066,1066,1066,65,0.49230769230769234,0,62.73669195175171
7,96372106,32,10737302,0,True,True,300,24.73793888092041,0.021729707717895508,1132,1132,0,1132,144,1132,1132,0,1132,1.0,max,Min Best Case,True,1123,1123,1123,74,0.43243243243243246,0,24.747194528579712
8,96372106,32,10737303,0,True,True,300,0.775825023651123,0.03472280502319336,1156,1156,0,1156,30,1156,1156,0,1156,1.0,max,Min Best Case,True,1155,1155,1155,85,0.3764705882352941,0,0.7965812683105469
9,96372106,32,10737304,0,True,True,300,53.73941922187805,0.01976180076599121,1265,1265,0,1265,84,1265,1265,0,1265,1.0,max,Min Best Case,True,1257,1257,1257,67,0.47761194029850745,0,53.74639058113098
10,96372106,32,10737305,0,True,True,300,-1,-1,-1,-1,-1,-1,89,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
11,96372106,32,10737306,0,True,True,300,-1,-1,-1,-1,-1,-1,422,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
12,96372106,32,10737307,0,True,True,300,84.20627403259277,0.021099328994750977,998,998,0,998,36,998,998,0,998,1.0,max,Min Best Case,True,994,994,994,70,0.45714285714285713,0,84.21524429321289
13,96372106,32,10737308,0,True,True,300,149.46996331214905,0.020186662673950195,1026,1026,0,1026,36,1026,1026,0,1026,1.0,max,Min Best Case,True,1022,1022,1022,68,0.47058823529411764,0,149.47852087020874
14,96372106,32,10737309,0,True,True,300,35.45794701576233,0.025293588638305664,1074,1074,0,1074,71,1074,1074,0,1074,1.0,max,Min Best Case,True,1064,1064,1064,81,0.3950617283950617,0,35.4700448513031
15,96372106,32,10737310,0,True,True,300,-1,-1,-1,-1,-1,-1,107,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
16,96372106,32,10737311,0,True,True,300,285.486132144928,0.027379751205444336,1156,1156,0,1156,379,1156,1156,0,1156,1.0,max,Min Best Case,True,1146,1146,1146,88,0.36363636363636365,0,285.49934911727905
17,96372106,32,10737312,0,True,True,300,173.04796695709229,0.02589869499206543,1203,1203,0,1203,58,1203,1203,0,1203,1.0,max,Min Best Case,True,1197,1197,1197,83,0.3855421686746988,0,173.05979013442993
18,96372106,32,10737313,0,True,True,300,186.3302023410797,0.019024372100830078,1147,1147,0,1147,439,1147,1147,0,1147,1.0,max,Min Best Case,True,1136,1136,1136,63,0.5079365079365079,0,186.336998462677
19,96372106,32,10737314,0,True,True,300,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
20,96372106,32,10737315,0,True,True,300,238.18847823143005,0.018545866012573242,1083,1083,0,1083,189,1083,1083,0,1083,1.0,max,Min Best Case,True,1077,1077,1077,64,0.5,0,238.19556498527527
