Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,PC,Bypass,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,nodes expanded initially,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC,True SIC,Makespan,Throughput,Number of Collisions,Planner Time
1,96372106,16,10737296,0,True,True,300,0.7379827499389648,0.035248756408691406,2279,2279,0,2279,6,2279,2279,0,2279,1.0,max,Min Best Case,True,2279,2279,2279,221,0.07239819004524888,0,0.7534570693969727
2,96372106,16,10737297,0,True,True,300,-1,-1,-1,-1,-1,-1,289,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1,-1,-1,-1,-1,-1
3,96372106,16,10737298,0,True,True,300,0.1298999786376953,0.024861812591552734,2073,2073,0,2073,9,2073,2073,0,2073,1.0,max,Min Best Case,True,2073,2073,2073,216,0.07407407407407407,0,0.13787436485290527
4,96372106,16,10737299,0,True,True,300,0.7066826820373535,0.03450751304626465,2389,2389,0,2389,35,2389,2389,0,2389,1.0,max,Min Best Case,True,2384,2384,2384,224,0.07142857142857142,0,0.7211704254150391
5,96372106,16,10737300,0,True,True,300,0.06587100028991699,0.03367900848388672,1841,1841,0,1841,3,1841,1841,0,1841,1.0,max,Min Best Case,True,1841,1841,1841,254,0.06299212598425197,0,0.08494877815246582
6,96372106,16,10737301,0,True,True,300,0.30201172828674316,0.025408267974853516,2138,2138,0,2138,15,2138,2138,0,2138,1.0,max,Min Best Case,True,2134,2134,2134,216,0.07407407407407407,0,0.30994677543640137
7,96372106,16,10737302,0,True,True,300,0.047231435775756836,0.02001023292541504,1777,1777,0,1777,7,1777,1777,0,1777,1.0,max,Min Best Case,True,1774,1774,1774,207,0.07729468599033816,0,0.05334925651550293
8,96372106,16,10737303,0,True,True,300,208.99126553535461,0.040050506591796875,2089,2089,0,2089,489,2089,2089,0,2089,1.0,max,Min Best Case,True,2076,2076,2076,219,0.0730593607305936,0,209.0117871761322
9,96372106,16,10737304,0,True,True,300,0.08246207237243652,0.025205612182617188,2288,2288,0,2288,6,2288,2288,0,2288,1.0,max,Min Best Case,True,2286,2286,2286,246,0.06504065040650407,0,0.08994293212890625
10,96372106,16,10737305,0,True,True,300,0.6990032196044922,0.02770829200744629,2124,2124,0,2124,28,2124,2124,0,2124,1.0,max,Min Best Case,True,2118,2118,2118,240,0.06666666666666667,0,0.7087414264678955
11,96372106,16,10737306,0,True,True,300,0.15711426734924316,0.026879072189331055,2245,2245,0,2245,17,2245,2245,0,2245,1.0,max,Min Best Case,True,2242,2242,2242,235,0.06808510638297872,0,0.16558241844177246
12,96372106,16,10737307,0,True,True,300,0.6792986392974854,0.03626275062561035,2271,2271,0,2271,34,2271,2271,0,2271,1.0,max,Min Best Case,True,2265,2265,2265,262,0.061068702290076333,0,0.6953682899475098
13,96372106,16,10737308,0,True,True,300,0.0687875747680664,0.028366804122924805,1464,1464,0,1464,8,1464,1464,0,1464,1.0,max,Min Best Case,True,1463,1463,1463,165,0.09696969696969697,0,0.08512639999389648
14,96372106,16,10737309,0,True,True,300,0.04430341720581055,0.02406477928161621,2212,2212,0,2212,4,2212,2212,0,2212,1.0,max,Min Best Case,True,2210,2210,2210,241,0.06639004149377593,0,0.05143284797668457
15,96372106,16,10737310,0,True,True,300,0.5826139450073242,0.02781224250793457,2371,2371,0,2371,8,2371,2371,0,2371,1.0,max,Min Best Case,True,2370,2370,2370,233,0.06866952789699571,0,0.5911188125610352
16,96372106,16,10737311,0,True,True,300,2.0756964683532715,0.044454097747802734,1733,1733,0,1733,94,1733,1733,0,1733,1.0,max,Min Best Case,True,1727,1727,1727,227,0.07048458149779736,0,2.1019110679626465
17,96372106,16,10737312,0,True,True,300,0.37031054496765137,0.025460004806518555,2140,2140,0,2140,16,2140,2140,0,2140,1.0,max,Min Best Case,True,2136,2136,2136,216,0.07407407407407407,0,0.37821435928344727
18,96372106,16,10737313,0,True,True,300,0.03132271766662598,0.02185201644897461,1990,1990,0,1990,1,1990,1990,0,1990,1.0,max,Min Best Case,True,1990,1990,1990,204,0.0784313725490196,0,0.03831052780151367
19,96372106,16,10737314,0,True,True,300,0.04892706871032715,0.02321910858154297,2181,2181,0,2181,7,2181,2181,0,2181,1.0,max,Min Best Case,True,2180,2180,2180,200,0.08,0,0.05534243583679199
20,96372106,16,10737315,0,True,True,300,0.12823200225830078,0.024476289749145508,2091,2091,0,2091,9,2091,2091,0,2091,1.0,max,Min Best Case,True,2089,2089,2089,231,0.06926406926406926,0,0.13599514961242676
